video_id,start,duration,text
ru44DngJYoA,0.08,4.64,You take a deep breath and then continue
ru44DngJYoA,2.96,3.04,speaking. The reason people aren't
ru44DngJYoA,4.72,2.8,comfortable with the pause is because
ru44DngJYoA,6.0,3.679,they don't know what the pause is for.
ru44DngJYoA,7.52,3.6,Right? The pause allows people to
ru44DngJYoA,9.679,2.88,process what you're saying. Think about
ru44DngJYoA,11.12,2.76,"it now. Listeners, as you're listening"
ru44DngJYoA,12.559,3.601,"to that, the moment I"
ru44DngJYoA,13.88,3.76,"paused, you had a moment to process the"
ru44DngJYoA,16.16,3.68,things that I was
ru44DngJYoA,17.64,3.399,saying. Do you want to be more
ru44DngJYoA,19.84,3.439,"charismatic? You see, in the world of"
ru44DngJYoA,21.039,3.681,"communication, there are two fundamental"
ru44DngJYoA,23.279,3.121,areas. Didn't that just seem really
ru44DngJYoA,24.72,2.84,important?
ru44DngJYoA,26.4,3.84,I was
ru44DngJYoA,27.56,4.039,so bad at interactions with human
ru44DngJYoA,30.24,3.2,beings. There was just a period of my
ru44DngJYoA,31.599,3.281,life where I I didn't understand what
ru44DngJYoA,33.44,4.24,anybody was saying to me. You're saying
ru44DngJYoA,34.88,5.6,"that everyone can go from being a shy,"
ru44DngJYoA,37.68,5.36,unconfident speaker to being a prolific
ru44DngJYoA,40.48,4.0,speaker like yourself.
ru44DngJYoA,43.04,2.56,"Being a confident communicator, that's"
ru44DngJYoA,44.48,2.239,just another series of behaviors that
ru44DngJYoA,45.6,3.36,"you can practice. So when people say,"
ru44DngJYoA,46.719,3.68,"""Oh, I'm shy."" I always say to them,"
ru44DngJYoA,48.96,3.599,"""Oh, that's because you've been"
ru44DngJYoA,50.399,5.201,practicing the shy behaviors for the
ru44DngJYoA,52.559,4.721,"last 15, 20, 30, 40 years."
ru44DngJYoA,55.6,3.599,"What are the top three things, the"
ru44DngJYoA,57.28,6.279,practical problems that people are
ru44DngJYoA,59.199,4.36,coming to solve when they come to
ru44DngJYoA,64.08,4.88,the number one health and wellness
ru44DngJYoA,65.92,6.96,"podcast? J Shetty. J Shetty, the one,"
ru44DngJYoA,68.96,6.64,the only J Shetty.
ru44DngJYoA,72.88,4.48,What made you commit your life to
ru44DngJYoA,75.6,3.839,helping people find their voice and find
ru44DngJYoA,77.36,3.759,their confidence? I always feel like the
ru44DngJYoA,79.439,3.921,thing we end up doing in life tends to
ru44DngJYoA,81.119,4.161,be something that had a massive impact
